,OPEN,HIGH,LOW,CLOSE,symbol
2022/3/17,11922.3926,12391.7559,11843.7529,12258.8955,CI005160.WI
2022/3/17,1743.8904,1808.089,1732.5885,1768.9648,CI005199.WI
2022/3/17,907.8431,923.2596,904.0349,914.9485,CI005811.WI
2022/3/17,16881.7148,17629.1973,16880.0117,17250.4668,CI005155.WI
2022/3/17,1437.6521,1480.7203,1437.6521,1460.7676,CI005806.WI
2022/3/17,870.3765,894.5456,870.3765,890.6859,CI005829.WI
2022/3/17,1179.1364,1199.1182,1169.186,1179.6897,CI005837.WI
2022/3/17,1479.8834,1528.1694,1475.0549,1501.0775,CI005824.WI
2022/3/17,11466.0371,12099.8447,11428.0732,11760.501,CI005152.WI
2022/3/17,1693.8794,1734.8478,1673.5728,1696.6736,CI005845.WI
2022/3/17,3645.5349,3704.8313,3645.2114,3655.3828,CI005110.WI
2022/3/17,15795.9551,16107.415,15692.6377,15882.7695,CI005106.WI
2022/3/17,2457.0891,2518.4958,2441.1265,2486.5652,CI005105.WI
2022/3/17,1040.7075,1070.2279,1033.6578,1052.1632,CI005832.WI
2022/3/17,1966.6196,1966.6196,1943.2269,1947.1926,CI005163.WI
2022/3/17,1102.3525,1131.7808,1099.9771,1120.5374,CI005807.WI
2022/3/17,1024.4518,1035.1699,1018.0205,1022.9462,CI005827.WI
2022/3/17,1728.7245,1760.6968,1722.6805,1740.9142,CI005800.WI
2022/3/17,1007.5872,1029.8851,1002.2945,1015.7855,CI005819.WI
2022/3/17,5098.8428,5197.9956,5079.5146,5125.5469,CI005168.WI
2022/3/17,400.5663,409.0492,398.3271,403.7927,CI005814.WI
2022/3/17,3808.0264,3904.6802,3801.9697,3858.4949,CI005178.WI
2022/3/17,1151.2435,1175.6101,1143.2094,1163.4427,CI005844.WI
2022/3/17,1561.7961,1598.329,1547.6705,1574.996,CI005195.WI
2022/3/17,4413.6885,4496.7056,4378.0483,4429.5732,CI005137.WI
2022/3/17,2086.5957,2137.553,2054.5974,2095.4624,CI005173.WI
2022/3/17,899.2181,925.461,891.3688,917.6884,CI005817.WI
2022/3/17,9950.4277,10053.5811,9797.5645,9914.5361,CI005164.WI
2022/3/17,2003.7318,2058.9578,1999.9021,2024.5308,CI005190.WI
2022/3/17,34287.7969,34534.5156,33732.0117,33965.1016,CI005145.WI
2022/3/17,750.2479,755.1288,745.3864,751.1068,CI005839.WI
2022/3/17,1070.5507,1089.9426,1068.9348,1080.8242,CI005197.WI
2022/3/17,16623.5918,16935.1953,16243.5264,16516.627,CI005143.WI
2022/3/17,1171.7227,1203.9406,1165.2881,1190.3052,CI005823.WI
2022/3/17,1171.2112,1208.0612,1170.151,1191.4219,CI005835.WI
