,close
2019-02-15,2517.46
2019-02-18,2582.85
2019-02-19,2579.05
2019-02-20,2588.17
2019-02-21,2577.23
2019-02-22,2623.07
2019-02-25,2787.7
2019-02-26,2733.9
2019-02-27,2750.34
2019-02-28,2743.97
2019-03-01,2819.47
2019-03-04,2832.59
2019-03-05,2828.87
2019-03-06,2840.27
2019-03-07,2789.7
2019-03-08,2685.59
2019-03-11,2708.6
2019-03-12,2719.77
2019-03-13,2723.96
2019-03-14,2729.13
2019-03-15,2755.81
2019-03-18,2825.18
2019-03-19,2806.9
2019-03-20,2812.92
2019-03-21,2802.96
2019-03-22,2795.39
2019-03-25,2718.18
2019-03-26,2706.15
2019-03-27,2741.59
2019-03-28,2733.97
2019-03-29,2838.51
2019-04-01,2892.62
2019-04-02,2888.53
2019-04-03,2920.0
2019-04-04,2951.98
2019-04-08,2962.27
2019-04-09,2967.51
2019-04-10,2979.1
2019-04-11,2928.43
2019-04-12,2920.52
2019-04-15,2924.93
2019-04-16,3023.03
2019-04-17,3017.42
2019-04-18,3004.92
2019-04-19,3042.43
2019-04-22,2970.49
2019-04-23,2978.85
2019-04-24,2974.85
2019-04-25,2927.99
2019-04-26,2892.86
2019-04-29,2939.41
2019-04-30,2945.24
2019-05-06,2805.04
2019-05-07,2806.26
2019-05-08,2758.24
2019-05-09,2698.78
2019-05-10,2793.76
2019-05-13,2741.11
2019-05-14,2724.73
2019-05-15,2783.54
2019-05-16,2791.41
2019-05-17,2735.21
2019-05-20,2715.43
2019-05-21,2739.79
2019-05-22,2725.73
2019-05-23,2685.93
2019-05-24,2702.03
2019-05-27,2722.33
2019-05-28,2748.8
2019-05-29,2755.81
2019-05-30,2742.96
2019-05-31,2728.95
2019-06-03,2743.06
2019-06-04,2721.31
2019-06-05,2719.59
2019-06-06,2706.76
2019-06-10,2743.37
2019-06-11,2812.9
2019-06-12,2796.73
2019-06-13,2794.54
2019-06-14,2785.61
2019-06-17,2793.7
2019-06-18,2806.45
2019-06-19,2842.74
2019-06-20,2942.63
2019-06-21,2938.77
2019-06-24,2949.52
2019-06-25,2910.12
2019-06-26,2903.49
2019-06-27,2937.13
2019-06-28,2930.6
2019-07-01,3002.94
2019-07-02,2999.08
2019-07-03,2964.73
2019-07-04,2953.27
2019-07-05,2961.92
2019-07-08,2897.51
2019-07-09,2881.55
2019-07-10,2878.78
2019-07-11,2887.83
2019-07-12,2902.13
2019-07-15,2902.61
2019-07-16,2884.56
2019-07-17,2875.03
2019-07-18,2859.16
2019-07-19,2895.62
2019-07-22,2881.9
2019-07-23,2881.1
2019-07-24,2906.55
2019-07-25,2931.18
2019-07-26,2939.35
2019-07-29,2930.49
2019-07-30,2944.03
2019-07-31,2912.66
2019-08-01,2887.87
2019-08-02,2843.77
2019-08-05,2786.72
2019-08-06,2760.68
2019-08-07,2747.25
2019-08-08,2786.87
2019-08-09,2772.15
2019-08-12,2824.8
2019-08-13,2792.91
2019-08-14,2804.36
2019-08-15,2814.39
2019-08-16,2824.23
2019-08-19,2877.23
2019-08-20,2875.65
2019-08-21,2869.22
2019-08-22,2878.0
2019-08-23,2917.38
2019-08-26,2863.48
2019-08-27,2887.24
2019-08-28,2867.03
2019-08-29,2855.45
2019-08-30,2872.4
2019-09-02,2894.96
2019-09-03,2892.18
2019-09-04,2919.68
2019-09-05,2955.84
2019-09-06,2981.07
2019-09-09,2981.59
2019-09-10,2969.8
2019-09-11,2957.14
2019-09-12,2999.56
2019-09-16,2982.45
2019-09-17,2937.01
2019-09-18,2954.36
2019-09-19,2956.83
2019-09-20,2963.43
2019-09-23,2930.91
2019-09-24,2940.08
2019-09-25,2928.84
2019-09-26,2927.88
2019-09-27,2929.47
2019-09-30,2897.7
2019-10-08,2922.35
2019-10-09,2922.98
2019-10-10,2940.8
2019-10-11,2983.12
2019-10-14,3013.53
2019-10-15,3015.42
2019-10-16,3004.72
2019-10-17,3011.75
2019-10-18,2963.18
2019-10-21,2968.91
2019-10-22,2973.22
2019-10-23,2954.31
2019-10-24,2959.03
2019-10-25,2967.05
2019-10-28,2981.36
2019-10-29,2968.28
2019-10-30,2952.12
2019-10-31,2954.73
2019-11-01,3002.65
2019-11-04,3022.27
