,trade_date,ts_code,exalter, buy , sell ,net_buy,side,reason
361,20130104,600722.SH,中国中投证券有限责任公司南通姚港路证券营业部," 2,817,675.32 ",,-2817675.32,1,ST股票、*ST股票和S股连续三个交易日触及涨幅限制的股票
163,20130104,002484.SZ,中国中投证券有限责任公司无锡清扬路证券营业部," 1,187.00 "," 2,594,516.04 ",2593329.04,0,涨幅偏离值达7%的证券
172,20130104,002492.SZ,中国中投证券有限责任公司无锡清扬路证券营业部, -   ," 3,575,000.00 ",3575000,0,涨幅偏离值达7%的证券
362,20130104,600722.SH,中国中投证券有限责任公司无锡清扬路证券营业部," 2,938,981.45 ",,-2938981.45,1,ST股票、*ST股票和S股连续三个交易日触及涨幅限制的股票
245,20130104,300111.SZ,中航证券有限公司北京安立路证券营业部," 3,622,974.00 ", -   ,-3622974,1,涨幅偏离值达7%的证券
371,20130104,600784.SH,中航证券有限公司北京安立路证券营业部," 86,640.00 ",,-86640,1,涨幅偏离值达7%的证券
41,20130104,000677.SZ,中航证券有限公司深圳春风路证券营业部," 124,449.75 ", -   ,-124449.75,1,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
331,20130104,600532.SH,中山证券有限责任公司杭州杨公堤证券营业部,," 2,563,557.00 ",2563557,0,涨幅偏离值达7%的证券
160,20130104,002484.SZ,中信建投证券股份有限公司北京海淀南路证券营业部," 1,592,260.72 "," 15,079.60 ",-1577181.12,1,涨幅偏离值达7%的证券
340,20130104,600535.SH,中信建投证券股份有限公司广州天河路证券营业部,," 30,966,810.75 ",30966810.75,0,跌幅偏离值达7%的证券
241,20130104,300111.SZ,中信建投证券股份有限公司杭州庆春路证券营业部," 14,894,477.51 "," 43,540.00 ",-14850937.51,1,涨幅偏离值达7%的证券
151,20130104,002460.SZ,中信建投证券股份有限公司吉安井冈山大道证券营业部," 1,988,748.00 ", -   ,-1988748,1,涨幅偏离值达7%的证券
180,20130104,002606.SZ,中信建投证券股份有限公司南昌子固路证券营业部," 7,912,018.99 ", -   ,-7912018.99,1,换手率达20%的证券
322,20130104,300353.SZ,中信建投证券股份有限公司南京龙园西路证券营业部," 3,259,187.50 "," 356,647.00 ",-2902540.5,1,换手率达20%的证券
330,20130104,600532.SH,中信建投证券股份有限公司武汉市中北路证券营业部," 14,839,874.39 ",,-14839874.39,1,涨幅偏离值达7%的证券
10,20130104,000156.SZ,中信建投证券股份有限公司武汉中北路证券营业部," 5,483,052.34 "," 312,534.00 ",-5170518.34,1,换手率达20%的证券
11,20130104,000156.SZ,中信建投证券股份有限公司武汉中北路证券营业部," 5,483,052.34 "," 312,534.00 ",-5170518.34,1,涨幅偏离值达7%的证券
152,20130104,002460.SZ,中信建投证券股份有限公司武汉中北路证券营业部," 2,124.00 "," 5,471,447.72 ",5469323.72,0,涨幅偏离值达7%的证券
181,20130104,002606.SZ,中信建投证券股份有限公司武汉中北路证券营业部," 6,635,071.78 "," 53,095.00 ",-6581976.78,1,换手率达20%的证券
378,20130104,600882.SH,中信建投证券股份有限公司淄博市中心路证券营业部," 15,069,249.32 ",,-15069249.32,1,连续三个交易日内，涨幅偏离值累计达20%的证券
